station,lat,lon,hp,country,fog,visibility,datetime
NOVYJ USHTOGAN,4790,4878,-10,Kazakhstan,44,500 m,2025112109
KOPAONIK,4328,2080,1713,Serbia,45,100 m,2025112109
35363,5026,6690,,,45,500 m,2025112109
POLTAVA,4960,3453,160,Ukraine,45,200 m,2025112109
SERAFIMOVIC,4956,4273,129.07,Russian Federation,45,500 m,2025112109
BAGUIO,1640,12060,1501,Philippines,40,8 km,2025112109
ZAVIZAN,4480,1496,1597.92,Croatia,49,100 m,2025112109
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,400 m,2025112109
GORODOVIKOVSK,4606,4196,86.77,Russian Federation,45,500 m,2025112109
BRICENI,4835,2706,261,Republic of Moldova,43,500 m,2025112109
35294,5055,7258,,,45,200 m,2025112109
GIGANT,4651,4135,78.53,Russian Federation,45,500 m,2025112109
ARAUCANIA,-3893,28735,0,Chile,45,900 m,2025112109
EJSK,4680,3826,2.53,Russian Federation,45,200 m,2025112109
"COLUMBIA, SC.",3395,27889,69,United States of America,41,400 m,2025112109
SMOLENSK,5475,3206,238,Russian Federation,45,500 m,2025112109
TAGANROG,4720,3890,32.03,Russian Federation,45,500 m,2025112109
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112109
SOROCA,4816,2830,173,Republic of Moldova,45,500 m,2025112109
GROZNYJ,4325,4571,257.57,Russian Federation,45,200 m,2025112109
CRNI VRH,4411,2195,1039,Serbia,45,500 m,2025112109
VARFU OMU,4543,2545,2511.4,Romania,49,below 50 m,2025112109
BILOGORA,4588,1720,263.21,Croatia,47,below 100 m,2025112109
ZHYTOMYR,5026,2865,224,Ukraine,45,200 m,2025112109
BUCURESTI BANEASA,4450,2606,91.2,Romania,42,900 m,2025112109
GOTNJA,5080,3576,225.67,Russian Federation,45,500 m,2025112109
MOZYR,5203,2918,189.52,Belarus,47,700 m,2025112109
"DAYTON/. COX, OH.",3986,27589,306,United States of America,41,400 m,2025112109
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112109
35393,5020,7426,,,47,200 m,2025112109
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,200 m,2025112109
