station,lat,lon,hp,country,hvyrain
APARRI,1835,12161,3,Philippines,98
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,68.6
KHO HONG AGROMET,700,10050,9.73,Thailand,126.8
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,61
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,87
MVENGUE,-165,1343,0,Gabon,56
AEROPARQUE BS. AS. AERO,-3455,30159,6,Argentina,56.7
SA DAO,678,10040,25.49,Thailand,51.1
GJIROKASTRA,4008,2015,194,Albania,56
YALA AGROMET,650,10126,36.04,Thailand,64.1
NARATHIWAT,641,10181,5.13,Thailand,61.6
KORCA,4060,2076,899,Albania,134
"TULSA/INT., OK.",3620,26412,195,United States of America,58
PRETOR-PGC,4096,2105,910,The former Yugoslav Republic of Macedonia,65.5
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,143.2
KERKYRA (AIRPORT),3960,1990,1.9,Greece,74
ALABAT,1410,12201,5,Philippines,60
WARRUWI,-1165,13336,19.7,Australia,53.4
"DALLAS-FORT WORTH/FORT WORTH REG.AIRPORT, TX.",3290,26297,182,United States of America,100
PAGO PAGO/INT.AIRP. AMERICAN SAMOA,-1433,18929,4.9,United States of America,72.4
MANINGRIDA AERO,-1205,13423,29.6,Australia,63.6
HAT YAI AIRPORT,693,10038,34.93,Thailand,174.8
MURGANELLA AIRSTRIP,-1153,13291,10.9,Australia,88
CALAYAN,1925,12146,13,Philippines,158
MIA PADANG,-78,10028,3,Indonesia,169.2
KOTA BHARU,616,10228,5,Malaysia,216
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,168
SONGKHLA,716,10060,6.56,Thailand,66.5
MILFORD AERO AWS,-4466,16791,3.37,New Zealand,71
PATTANI,678,10113,6.01,Thailand,234.4
KOTA BHARU,616,10228,5,Malaysia,174
MIA PADANG,-78,10028,3,Indonesia,166
TUGUEGARAO,1763,12175,62,Philippines,52.3
CALAYAN,1925,12146,13,Philippines,64.6
MURGANELLA AIRSTRIP,-1153,13291,10.9,Australia,69.4
MANINGRIDA AERO,-1205,13423,29.6,Australia,56.4
PATTANI,678,10113,6.01,Thailand,68.8
"LUKUNOCH ATOLL, CAROLINE ISLANDS",550,15381,3,Islands,53.3
PUYSEGUR POINT AWS,-4615,16660,44.3,New Zealand,59
MILFORD AERO AWS,-4466,16791,3.37,New Zealand,56.2
KARAIKAL,1091,7983,6.35,India,50
SONGKHLA,716,10060,6.56,Thailand,58.3
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,188.6
KERKYRA (AIRPORT),3960,1990,1.9,Greece,98
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,162.1
SIBU,233,11183,31,Malaysia,79.4
"TULSA/INT., OK.",3620,26412,195,United States of America,51.3
MANIHIKI AWS,-1043,19899,0,Cook Islands,52.4
PAGO PAGO/INT.AIRP. AMERICAN SAMOA,-1433,18929,4.9,United States of America,73.7
"DALLAS-FORT WORTH/FORT WORTH REG.AIRPORT, TX.",3290,26297,182,United States of America,98
USHUAIA AERO,-5483,29170,57,Argentina,606.2
KUCHING,148,11033,27,Malaysia,52.2
CHAWANG,841,9950,30.37,Thailand,78.8
BINTULU,320,11303,5,Malaysia,51.6
KORCA,4060,2076,899,Albania,52.9
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,99.7
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,95.1
KHO HONG AGROMET,700,10050,9.73,Thailand,77.8
APARRI,1835,12161,3,Philippines,118.8
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,93.4
NHA TRANG,1221,10921,4,Viet Nam,85
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,228.3
KHO HONG AGROMET,700,10050,9.73,Thailand,93.8
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,174
48863,1513,10878,,,57
PHRASANG,856,9925,14.05,Thailand,67.6
NHA TRANG,1221,10921,4,Viet Nam,143
SECRETARY ISLAND AWS,-4521,16688,18.9,New Zealand,93
TRANG,751,9961,15.82,Thailand,71.7
CHAWANG,841,9950,30.37,Thailand,115.6
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,292.2
KERKYRA (AIRPORT),3960,1990,1.9,Greece,119
