time_interval,intensity,lat,lng,speed_of_movement,movement_direction,pressure,max_wind_speed,gust,wind_radii,forecast_time
0600,category 2,-10.980000000,132.210000000,,,987,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
1200,category 2,-11.310000000,131.840000000,,,983,55,75,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
1800,category 2,-11.560000000,131.370000000,,,980,60,85,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;25nm|NEQ;;30nm|SEQ;;30nm|SWQ;;25nm|NWQ,
2400,category 2,-11.850000000,130.990000000,,,980,60,85,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;25nm|NEQ;;30nm|SEQ;;30nm|SWQ;;25nm|NWQ,
3600,category 2,-12.220000000,130.140000000,,,980,60,85,34.0 kt;;60nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ##48.0 kt;;25nm|NEQ;;30nm|SEQ;;30nm|SWQ;;25nm|NWQ,
4800,category 2,-12.580000000,129.370000000,,,980,60,85,34.0 kt;;60nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
6000,category 3,-12.890000000,128.700000000,,,975,65,90,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,
7200,category 3,-12.960000000,127.920000000,,,972,70,100,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,
9600,category 2,-13.160000000,126.770000000,,,986,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
12000,,-13.750000000,126.100000000,,,995,35,50,34.0 kt;;50nm|NEQ;;50nm|NWQ,
