station,lat,lon,hp,country,thunderstorms,datetime
SANTIAGO DEL ESTERO AERO.,-2775,29572,199,Argentina,95,2025112109
LUBNY,5000,3298,158,Ukraine,95,2025112109
AKTION (AIRPORT),3891,2076,3.94,Greece,95,2025112109
KUANTAN,378,10321,16,Malaysia,95,2025112109
CONCORDIA AERO,-3130,30200,38,Argentina,95,2025112109
KUCHING,148,11033,27,Malaysia,95,2025112109
BRUNEI AIRPORT,493,11493,15,Brunei Darussalam,95,2025112109
TIMIKA,-451,13688,3,Indonesia,95,2025112109
TIRUPATHI,1366,7958,103,India,95,2025112109
MOUYONDZI,-400,1395,512,Congo,95,2025112109
KOTA KINABALU,593,11605,3,Malaysia,95,2025112109
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,95,2025112106
VILLA DE MARIA DEL RIO SECO,-2990,29629,341,Argentina,95,2025112106
TUCUMAN AERO,-2683,29490,450,Argentina,95,2025112106
AMBON/PATTIMURA,-370,12808,12,Indonesia,95,2025112106
MVENGUE,-165,1343,0,Gabon,95,2025112106
HAT YAI AIRPORT,693,10038,34.93,Thailand,97,2025112106
BIMA/M.SALAHUDDIN,-853,11868,2,Indonesia,95,2025112106
TRAPANI BIRGI,3790,1248,9.3,Italy,95,2025112103
BITOLA,4105,2136,589,The former Yugoslav Republic of Macedonia,95,2025112103
DUBROVNIK/CILIPI,4255,1826,167.2,Croatia,95,2025112103
PATTANI,678,10113,6.01,Thailand,95,2025112103
NANSHA DAO,1038,11437,5,China,B95,2025112103
KORCA,4060,2076,899,Albania,95,2025112103
LA RIOJA AERO.,-2936,29322,429,Argentina,95,2025112103
KIGOMA,-488,2966,885,"Tanzania, United Republic of",95,2025112103
PARANA AERO,-3178,29952,78,Argentina,95,2025112103
BUENOS AIRES OBSERVATORIO,-3458,30152,25,Argentina,95,2025112100
VILLA DOLORES AERO,-3195,29487,569,Argentina,95,2025112100
ROSARIO AERO,-3290,29924,25,Argentina,95,2025112100
LA PLATA AERO,-3495,30212,19,Argentina,95,2025112100
TAGUATINGA,-1240,31357,604,Brazil,95,2025112100
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112100
SASSANDRA,495,-30144,66,Côte d'Ivoire,95,2025112100
KUALA LUMPUR INTERNATIONAL AIRPORT (KLIA),271,10170,17,Malaysia,95,2025112100
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,95,2025112100
TANJUNG PINANG/KIJANG,91,10451,18,Indonesia,95,2025112100
MALACCA,226,10225,9,Malaysia,95,2025112021
SONGEA,-1068,3558,1067,"Tanzania, United Republic of",95,2025112021
EZEIZA AERO,-3481,30147,20,Argentina,95,2025112021
SALVADOR (AERO),-1290,32167,6,Brazil,95,2025112021
GAGNOA,613,-30131,210,Côte d'Ivoire,95,2025112021
PUERTO PRINCESA,973,11875,15,Philippines,95,2025112021
KAVALI,1491,8000,21.7,India,95,2025112021
PAGO PAGO/INT.AIRP. AMERICAN SAMOA,-1433,18929,4.9,United States of America,95,2025112018
PRETORIA (IRENE),-2590,2820,1526,South Africa,95,2025112018
NELLORE,1445,7998,21.1,India,95,2025112018
EZEIZA AERO,-3481,30147,20,Argentina,95,2025112018
LA PLATA AERO,-3495,30212,19,Argentina,95,2025112018
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112018
"OKLAHOMA CITY/W. ROGERS WORLD, OK.",3538,26240,398,United States of America,95,2025112018
JOHANNESBURG INTNL. AIRPORT,-2613,2823,1695,South Africa,95,2025112018
"DALLAS-FORT WORTH/FORT WORTH REG.AIRPORT, TX.",3290,26297,182,United States of America,95,2025112018
JUNIN AERO,-3455,29909,81,Argentina,95,2025112018
AEROPARQUE BS. AS. AERO,-3455,30159,6,Argentina,95,2025112018
DALOA,686,-30182,277,Côte d'Ivoire,95,2025112018
ZORG EN HOOP,581,30482,7,Suriname,95,2025112018
LAS FLORES,-3603,30087,38,Argentina,95,2025112018
BUENOS AIRES OBSERVATORIO,-3458,30152,25,Argentina,95,2025112018
BINTULU,320,11303,5,Malaysia,95,2025112015
NAPOLI/CAPODICHINO,4088,1428,72,Italy,95,2025112015
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112015
TARAKAN/JUWATA,333,11756,6,Indonesia,95,2025112015
PEKAN BARU/SIMPANGTIGA,46,10145,31,Indonesia,95,2025112015
LABUAN,530,11525,30,Malaysia,95,2025112012
BINTULU,320,11303,5,Malaysia,95,2025112012
POSO/KASIGUNCU,-141,12065,2,Indonesia,95,2025112012
LICHINGA,-1330,3523,1365,Mozambique,95,2025112012
MAHA ILLUPPALLAMA,811,8046,117,Sri Lanka,95,2025112012
RATMALANA,681,7988,5,Sri Lanka,95,2025112012
