station,lat,lon,hp,country,fog,visibility,datetime
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025111812
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025111812
ZLATIBOR,4373,1971,1029,Serbia,45,200 m,2025111812
AI-PETRI,4446,3406,1180,Ukraine,45,200 m,2025111812
"MOBILE/BATES FIELD,  AL.",3068,27175,67,United States of America,41,400 m,2025111812
CAPE FLATTERY,-1496,14530,19.3,Australia,41,,2025111812
ARMENIA/EL EDEN,450,28429,1219,Colombia,11,10 km,2025111812
MONCHEGORSK,6793,3291,131.6,Russian Federation,49,500 m,2025111812
"LAKE CHARLES/MUN., LA.",3011,26680,5.9,United States of America,41,800 m,2025111812
JIUXIAN SHAN,2572,11810,1651,China,B46,below 100 m,2025111812
BISER,5851,5885,463.54,Russian Federation,45,200 m,2025111812
KASTORIA (AIRPORT),4043,2126,658.68,Greece,41,,2025111812
16779,3766,2633,,,41,,2025111812
SHOJNA,6786,4416,8,Russian Federation,44,500 m,2025111812
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,800 m,2025111812
ERZURUM,3995,4118,1758,Turkey,41,1100 m,2025111809
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025111809
BUGUL'MA,5461,5280,303.93,Russian Federation,43,500 m,2025111809
CHOPOK,4893,1958,2007,Slovakia,48,200 m,2025111809
AI-PETRI,4446,3406,1180,Ukraine,45,200 m,2025111809
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025111809
28967,5263,6546,,,44,500 m,2025111809
RESISTENCIA AERO,-2743,30097,52,Argentina,11,1500 m,2025111809
28877,5330,6810,,,46,500 m,2025111809
35153,5165,6420,,,45,500 m,2025111809
KAZAN',5573,4920,118.5,Russian Federation,45,200 m,2025111809
CELNO-VERSINY,5441,5110,157.71,Russian Federation,47,500 m,2025111809
NIKEL',6940,3020,92.1,Russian Federation,11,14 km,2025111809
COCONUT ISLAND,-1005,14306,4,Australia,41,,2025111809
AKSAKOVO,5401,5413,355.58,Russian Federation,43,500 m,2025111809
BAGUIO,1640,12060,1501,Philippines,40,10 km,2025111809
JIUXIAN SHAN,2572,11810,1651,China,B46,below 100 m,2025111809
BISER,5851,5885,463.54,Russian Federation,47,200 m,2025111809
VARFU OMU,4543,2545,2511.4,Romania,47,below 50 m,2025111809
CONCEPCION (86134-0),-2343,30259,98,Paraguay,45,500 m,2025111809
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,200 m,2025111806
