time_interval,intensity,lat,lng,speed_of_movement,movement_direction,pressure,max_wind_speed,gust,wind_radii,forecast_time
0600,category 1,-10.360000000,132.930000000,,,992,45,65,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ,
1200,category 2,-10.570000000,132.720000000,,,988,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
1800,category 2,-10.920000000,132.500000000,,,985,55,75,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;25nm|SEQ;;25nm|SWQ;;30nm|NWQ,
2400,category 2,-11.250000000,132.150000000,,,982,60,85,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
3600,category 2,-11.630000000,131.400000000,,,981,60,85,34.0 kt;;60nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ##48.0 kt;;25nm|NEQ;;30nm|SEQ;;30nm|SWQ;;25nm|NWQ,
4800,category 2,-12.010000000,130.520000000,,,985,55,75,34.0 kt;;60nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
6000,category 2,-12.370000000,129.740000000,,,981,60,85,34.0 kt;;60nm|NEQ;;40nm|SEQ;;40nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
7200,category 3,-12.730000000,128.940000000,,,978,65,90,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,
9600,category 2,-12.980000000,127.520000000,,,981,60,85,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,
12000,category 1,-13.520000000,126.370000000,,,991,45,65,34.0 kt;;60nm|NEQ;;40nm|SEQ;;40nm|SWQ;;60nm|NWQ,
