station,lat,lon,hp,country,fog,visibility,datetime
DHUBRI,2601,8998,35.1,India,42,500 m,2025112400
BOKOVSKAJA,4921,4183,91.12,Russian Federation,45,500 m,2025112400
NAN,1876,10075,201.6,Thailand,47,300 m,2025112400
NAMSAM,2088,9771,0,Myanmar,42,600 m,2025112400
UMPHANG,1601,9885,460,Thailand,44,800 m,2025112400
KALEWA,2320,9430,109,Myanmar,40,1000 m,2025112400
POINT STUART AWS,-1223,13186,1.5,Australia,41,,2025112400
GOPALPUR,1926,8488,16.8,India,46,200 m,2025112400
NAMTSY,6273,12966,89.76,Russian Federation,44,200 m,2025112400
KOPAONIK,4328,2080,1713,Serbia,45,500 m,2025112400
HUICHON,4016,12625,155,Democratic People's Republic of Korea,45,100 m,2025112400
LOEI AGROMET,1740,10171,263.6,Thailand,47,100 m,2025112400
LOEI,1745,10171,254.25,Thailand,44,500 m,2025112400
KOZ'MODEM'JANSK,5633,4658,107.3,Russian Federation,45,500 m,2025112400
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112400
KAMENNAJA STEP',5105,4070,194,Russian Federation,45,500 m,2025112400
NEPALGUNJ AIRPORT,2810,8166,165,Nepal,42,200 m,2025112400
HKAMTI,2600,9570,0,Myanmar,47,500 m,2025112400
NAMPO,3871,12538,47,Democratic People's Republic of Korea,47,below 100 m,2025112400
48810,2215,10583,,,45,500 m,2025112400
LOIKAW,1968,9721,0,Myanmar,40,1000 m,2025112400
KRAKOW-BALICE,5006,1980,241.5,Poland,42,200 m,2025112400
SUPUNG,4045,12493,76,Democratic People's Republic of Korea,45,200 m,2025112400
"SANDY LAKE A, ONT",5305,26667,289.9,Canada,41,16 km,2025112400
26708,5468,2075,,,47,200 m,2025112400
BHUBANESHWAR,2025,8583,49.4,India,42,500 m,2025112400
JHARSIGUDA,2191,8408,230,India,44,500 m,2025112400
KENGTUNG,2130,9961,828,Myanmar,42,400 m,2025112400
AGARTALA,2388,9125,38.5,India,41,200 m,2025112400
MOURGASH,4283,2366,1692,Bulgaria,45,below 100 m,2025112400
YANGDOK,3921,12665,279,Democratic People's Republic of Korea,43,below 100 m,2025112400
RANGPUR,2573,8923,34,Bangladesh,42,900 m,2025112400
REYKJAVIK (4030-0),6413,-31729,61,Iceland,11,40 km,2025112400
KOSICE,4866,2121,231,Slovakia,46,700 m,2025112400
OUDOMXAY,2068,10200,636,Lao People's Democratic Republic,47,200 m,2025112400
YOUYANG,2883,10877,827.7,China,B45,below 100 m,2025112400
HAEJU,3803,12570,81,Democratic People's Republic of Korea,43,600 m,2025112400
SAMNEUA,2041,10406,0,Lao People's Democratic Republic,47,200 m,2025112400
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,500 m,2025112400
PONYRI,5231,3630,250.9,Russian Federation,45,500 m,2025112400
URJUPINSK,5080,4200,105.65,Russian Federation,43,500 m,2025112400
ZHONGXIANG,3120,11263,66,China,B45,below 100 m,2025112400
THONG PHA PHUM,1473,9863,99.28,Thailand,45,500 m,2025112400
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112400
CORNESTI,4735,2800,232,Republic of Moldova,45,500 m,2025112400
MOROZOVSK,4835,4186,89.76,Russian Federation,45,500 m,2025112400
BUDENNOVSK,4478,4413,135.87,Russian Federation,47,below 50 m,2025112400
NIZHNIJ NOVGOROD,5626,4400,157.3,Russian Federation,45,400 m,2025112400
DIPAYAL,2925,8093,617,Nepal,47,100 m,2025112400
BIRATNAGAR AIRPORT,2648,8726,72,Nepal,42,800 m,2025112400
KRASNYE BAKI,5713,4516,110.35,Russian Federation,46,500 m,2025112400
NEIJIANG,2962,10512,349,China,B46,below 100 m,2025112400
MILLEROVO,4893,4038,155.07,Russian Federation,45,500 m,2025112400
PARADIP (C.W.R.),2025,8565,8.98,India,46,500 m,2025112400
SYR-DAR'JA,4081,6868,263,Uzbekistan,45,50 m,2025112400
KANGGYE,4096,12660,306,Democratic People's Republic of Korea,45,400 m,2025112400
ZAGREB/PLESO,4571,1605,108.8,Croatia,11,15 km,2025112400
ZHLOBIN,5288,3003,141.8,Belarus,43,600 m,2025112400
BARANOVICHI,5311,2596,193.4,Belarus,45,800 m,2025112400
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112400
ELISTA,4630,4418,197.2,Russian Federation,45,500 m,2025112400
POKHARA AIRPORT,2821,8400,827,Nepal,45,500 m,2025112400
CAO BANG,2266,10625,243,Viet Nam,45,200 m,2025112400
DIAMOND HARBOUR,2218,8820,7,India,40,500 m,2025112400
GAYA (42591-0),2475,8495,116,India,42,500 m,2025112400
CERNYJ JAR,4806,4611,5.36,Russian Federation,47,500 m,2025112400
KUANDIAN,4072,12478,261,China,B46,below 100 m,2025112400
DANDONG,4005,12433,14,China,B46,600 m,2025112400
SHARDARA,4123,6796,275,Kazakhstan,47,200 m,2025112400
CEAHLAU TOACA,4696,2595,1898.3,Romania,49,50 m,2025112400
BLAGODARNYJ,4510,4345,162.5,Russian Federation,45,500 m,2025112400
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112400
BAREILLY,2836,7940,169,India,44,500 m,2025112400
YASHKUL',4618,4535,-6.71,Russian Federation,45,200 m,2025112400
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112400
ORUMIEH,3765,4505,1328,"Iran, Islamic Republic of",44,900 m,2025112400
ATYRAU,4711,5188,-22,Kazakhstan,47,200 m,2025112400
16779,3766,2633,,,41,,2025112400
BENXI,4132,12378,185,China,B45,100 m,2025112400
EGVEKINOT,6635,18089,25.84,Russian Federation,47,200 m,2025112400
VILJUJSK,6378,12161,110.89,Russian Federation,12,20 km,2025112400
BOBRUISK,5320,2911,156.4,Belarus,47,600 m,2025112400
JESSORE,2318,8916,7,Bangladesh,46,400 m,2025112400
KONSTANTINOVSK,4758,4110,62.04,Russian Federation,45,200 m,2025112400
SINUIJU,4010,12438,7,Democratic People's Republic of Korea,43,900 m,2025112400
DIBRUGARH /MOHANBARI,2748,9501,111,India,42,200 m,2025112400
