station,lat,lon,hp,country,hvyrain
PISA S. GIUSTO,4366,1038,6.1,Italy,72
MINICOY,830,7300,1.83,India,165
HANIMAADHOO,673,7316,2.4,Maldives,55
USTICA,3870,1316,243,Italy,111
SONGKHLA,716,10060,6.56,Thailand,304.9
HAT YAI AIRPORT,693,10038,34.93,Thailand,225.6
SEYCHELLES INTERNATIONAL AIRPORT,-466,5550,3,Seychelles,54
KARAIKAL,1091,7983,6.35,India,72
TRANG,751,9961,15.82,Thailand,84
NUEVA LOJA AEROPUERTO,8,28314,299,Ecuador,67.9
EL COCA AEROPUERTO,-45,28302,254,Ecuador,70.9
SATUN,665,10006,5.95,Thailand,174.6
SA DAO,678,10040,25.49,Thailand,273.9
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,137.7
CAIA,-1783,3533,45,Mozambique,60
HUE,1643,10758,9,Viet Nam,54
CAPO CARBONARA,3910,950,118,Italy,53
KHO HONG AGROMET,700,10050,9.73,Thailand,275.7
TRANG,751,9961,15.82,Thailand,79.1
NUEVA LOJA AEROPUERTO,8,28314,299,Ecuador,58
SATUN,665,10006,5.95,Thailand,247.5
EL COCA AEROPUERTO,-45,28302,254,Ecuador,69
SA DAO,678,10040,25.49,Thailand,269.5
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,138.4
HUE,1643,10758,9,Viet Nam,54
KHO HONG AGROMET,700,10050,9.73,Thailand,246.9
THANJAVUR,1078,7913,71,India,56
QUY NHON,1376,10921,6,Viet Nam,52
NARATHIWAT,641,10181,5.13,Thailand,236.8
YALA AGROMET,650,10126,36.04,Thailand,502.5
HAT YAI AIRPORT,693,10038,34.93,Thailand,241.8
KARAIKAL,1091,7983,6.35,India,76
PATTANI,678,10113,6.01,Thailand,385.7
FUA'AMOTU,-2123,18485,41,Tonga,61.4
"SAN ANGELO/MATHIS, TX.",3136,25950,582,United States of America,51.6
TIRUCHCHIRAPALLI,1076,7871,94.2,India,59
SONGKHLA,716,10060,6.56,Thailand,246.6
TONDI,973,7903,5.18,India,88
PISA S. GIUSTO,4366,1038,6.1,Italy,72
PARANGIPETTAI,1150,7976,2.88,India,181
SAL,1673,-31829,55.74,Cabo Verde,115.9
"KAPINGAMARANGI ATOLL, CAROLINE IS.",108,15476,3,Islands,52.1
PATTANI,678,10113,6.01,Thailand,381.7
YALA AGROMET,650,10126,36.04,Thailand,449.2
NARATHIWAT,641,10181,5.13,Thailand,281
QUY NHON,1376,10921,6,Viet Nam,64
HAT YAI AIRPORT,693,10038,34.93,Thailand,188.8
SEYCHELLES INTERNATIONAL AIRPORT,-466,5550,3,Seychelles,64
BANDARAWELA,683,8098,1225,Sri Lanka,56.1
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,134.2
MARGATE,-3085,3033,154,South Africa,52
MIA PADANG,-78,10028,3,Indonesia,114
MOUNT EDGECOMBE,-2970,3103,94,South Africa,103
KHO HONG AGROMET,700,10050,9.73,Thailand,171.7
SITIAWAN,421,10070,8,Malaysia,203
TRANG,751,9961,15.82,Thailand,63.8
SATUN,665,10006,5.95,Thailand,189.6
TOAMASINA,-1811,4940,6,Madagascar,56
SA DAO,678,10040,25.49,Thailand,229.2
CHUPING,648,10026,22,Malaysia,154
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,142
"KAPINGAMARANGI ATOLL, CAROLINE IS.",108,15476,3,Islands,103.9
ALOR STAR,620,10040,5,Malaysia,62
BATTICALOA,771,8170,8,Sri Lanka,79
WEWAK W.O.,-358,14366,4,Papua New Guinea,69
KOTA BHARU,616,10228,5,Malaysia,87
SONGKHLA,716,10060,6.56,Thailand,178.7
SIBOLGA/PINANGSORI,155,9888,3,Indonesia,90
TIRUCHCHIRAPALLI,1076,7871,94.2,India,63.8
PORT KEATS AIRPORT,-1423,12951,29,Australia,103
MADURAI (43360-0),983,7808,141,India,56.8
DUM IN MIRRIE AWS,-1263,13036,4.2,Australia,143.4
BUTUAN,893,12546,46,Philippines,101.7
PORT KEATS AIRPORT,-1423,12951,29,Australia,106.4
JUANDA SURABAYA,-736,11276,3,Indonesia,79
MADURAI (43360-0),983,7808,141,India,53
NAGAPPATTINAM,1076,7985,3.1,India,84
DOBBIACO,4671,1221,1226,Italy,87.9
KOTA BHARU,616,10228,5,Malaysia,231.4
SONGKHLA,716,10060,6.56,Thailand,79.8
TONDI,973,7903,5.18,India,87
TIRUCHCHIRAPALLI,1076,7871,94.2,India,58
SIBOLGA/PINANGSORI,155,9888,3,Indonesia,56
INFANTA,1473,12166,7,Philippines,82.5
LUPEPAU'U,-1858,18604,70,Tonga,54
ALOR STAR,620,10040,5,Malaysia,52.4
CHUPING,648,10026,22,Malaysia,135
KUALA LUMPUR/SUBANG,311,10155,22,Malaysia,124.2
HINATUAN,836,12633,3,Philippines,70.5
"KAPINGAMARANGI ATOLL, CAROLINE IS.",108,15476,3,Islands,105
SITIAWAN,421,10070,8,Malaysia,234.8
CILACAP,-773,10901,6,Indonesia,55
SATUN,665,10006,5.95,Thailand,220.5
SA DAO,678,10040,25.49,Thailand,268.7
FUNAFUTI (91643-0),-851,17921,2,Tuvalu,999
MARGATE,-3085,3033,154,South Africa,50
MIA PADANG,-78,10028,3,Indonesia,117
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,50
ATIRAMAPATTINAM,1033,7938,4.47,India,52
KHO HONG AGROMET,700,10050,9.73,Thailand,106.3
MOUNT EDGECOMBE,-2970,3103,94,South Africa,98
CAPO CARBONARA,3910,950,118,Italy,999.8
NARATHIWAT,641,10181,5.13,Thailand,299
QUY NHON,1376,10921,6,Viet Nam,77
YALA AGROMET,650,10126,36.04,Thailand,347.2
HAT YAI AIRPORT,693,10038,34.93,Thailand,143.8
48863,1513,10878,,,53
PATTANI,678,10113,6.01,Thailand,338
FUA'AMOTU,-2123,18485,41,Tonga,88.2
DURRES,4130,1945,12,Albania,51
TOKUA W.O.,-433,15236,13,Papua New Guinea,64
