station,lat,lon,hp,country,thunderstorms,datetime
ULLEUNGDO,3746,13088,224.05,Republic of Korea,95,2025112509
OSAKA,3466,13551,83,Japan,95,2025112509
KUCHING,148,11033,27,Malaysia,95,2025112509
ALANYA,3655,3196,6,Turkey,95,2025112509
ISKENDERUN,3658,3615,4,Turkey,95,2025112506
CAPO FRASCA,3973,845,95,Italy,97,2025112506
SILIFKE,3636,3393,15,Turkey,95,2025112506
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,97,2025112506
ULLEUNGDO,3746,13088,224.05,Republic of Korea,95,2025112506
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,95,2025112506
KAESONG,3796,12656,70,Democratic People's Republic of Korea,95,2025112500
AQABA AIRPORT,2955,3500,51,Jordan,95,2025112500
CONFINS (AERO),-1961,31604,828,Brazil,95,2025112500
CHAWANG,841,9950,30.37,Thailand,95,2025112500
LA CEIBA (AIRPORT),1573,27314,26,Honduras,95,2025112500
SINGAPORE/CHANGI AIRPORT,136,10396,16,Singapore,95,2025112421
KAESONG,3796,12656,70,Democratic People's Republic of Korea,97,2025112421
KOTA BHARU,616,10228,5,Malaysia,95,2025112421
GALEAO,-2281,31675,6,Brazil,95,2025112421
SUWON,3726,12698,37.85,Republic of Korea,95,2025112421
SEOUL,3756,12695,87.1,Republic of Korea,95,2025112421
MINICOY,830,7300,1.83,India,95,2025112418
LA PAZ/ALTO,-1651,29182,4038,"Bolivia, Plurinational State of",95,2025112418
SINGAPORE/CHANGI AIRPORT,136,10396,16,Singapore,95,2025112418
ERMELO,-2648,2998,1774,South Africa,95,2025112418
JOHANNESBURG INTNL. AIRPORT,-2613,2823,1695,South Africa,95,2025112418
DENPASAR/NGURAH RAI,-875,11516,1,Indonesia,95,2025112418
AKIM ODA,593,-29634,0,Ghana,95,2025112418
BETHLEHEM,-2823,2833,1687,South Africa,95,2025112415
OUESSO,161,1605,352,Congo,95,2025112415
HAT YAI AIRPORT,693,10038,34.93,Thailand,95,2025112415
GRAZZANISE,4105,1406,10,Italy,95,2025112415
PONTIANAK/SUPADIO,-15,10940,3,Indonesia,95,2025112415
KIGALI,-195,3011,1497.47,Rwanda,95,2025112415
LABUAN,530,11525,30,Malaysia,95,2025112415
SITIAWAN,421,10070,8,Malaysia,95,2025112415
ALANYA,3655,3196,6,Turkey,95,2025112415
MZIMBA,-1188,3361,1351,Malawi,95,2025112412
"DALLAS-FORT WORTH/FORT WORTH REG.AIRPORT, TX.",3290,26297,182,United States of America,95,2025112412
NYERI,-43,3696,0,Kenya,95,2025112412
BVUMBWE,-1591,3506,1146,Malawi,95,2025112412
RATNAPURA,668,8040,86,Sri Lanka,95,2025112412
