station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
HATANGA,7196,10245,32.8,Russian Federation,66,34,120,ESE,2025112015
SHIP,-2590,4900,,,36,19,190,S,2025112015
SHIP,5280,20500,,,35,18,240,WSW,2025112015
SHIP,5560,20740,,,37,19,230,SW,2025112015
SHIP,5590,20660,,,55,28,230,SW,2025112015
SHIP,6080,21130,,,37,19,60,ENE,2025112015
SHIP,6040,18620,,,35,18,320,NW,2025112012
BOMNAK,5471,12886,364.41,Russian Federation,192,99,290,WNW,2025112012
SHIP,6060,21320,,,35,18,90,E,2025112012
SHIP,5280,20500,,,37,19,230,SW,2025112012
SHIP,5560,20740,,,35,18,220,SW,2025112012
DUMONT D'URVILLE,-6665,14000,43,Antarctica,36,19,130,SE,2025112012
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,37,19,170,S,2025112012
"ROCK RIVER, YT",6296,22379,0,Canada,37,19,90,E,2025112012
PUYSEGUR POINT AWS,-4615,16660,44.3,New Zealand,40,21,340,NNW,2025112012
SHIP,6080,21130,,,37,19,60,ENE,2025112012
SHIP,5900,20790,,,37,19,110,ESE,2025112012
LAN YU,2203,12155,325,China,47,24,10,N,2025112012
UDGIR,1806,7711,639,India,62,32,20,NNE,2025112012
SHIP,6040,18630,,,34,17,320,NW,2025112012
SHIP,1940,12090,,,45,23,50,NE,2025112012
MOURGASH,4283,2366,1692,Bulgaria,39,20,180,S,2025112012
YEFREN,3203,1230,691,Libya (State of),73,38,10,N,2025112009
"SOLANDER ISLAND (AUT), BC",5010,23207,93.6,Canada,35,18,120,ESE,2025112009
SHIP,2140,12190,,,36,19,50,NE,2025112009
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,37,19,180,S,2025112009
SHIP,5280,20500,,,39,20,230,SW,2025112009
SHIP,-2300,5460,,,40,21,290,WNW,2025112009
SHIP,1800,12010,,,51,26,20,NNE,2025112006
"HERBERT ISLAND (AUT), BC",5093,23239,13.2,Canada,37,19,120,ESE,2025112006
SHIP,5280,20500,,,37,19,230,SW,2025112006
SHIP,6040,18620,,,35,18,340,NNW,2025112006
SHIP,5560,20740,,,35,18,130,SE,2025112006
SOUTH WEST CAPE AWS,-4726,16745,102.4,New Zealand,38,20,340,NNW,2025112006
CHOPOK,4893,1958,2007,Slovakia,39,20,180,S,2025112006
T.B.I.A,1915,7200,14.9,India,95,49,290,WNW,2025112006
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,44,23,170,S,2025112006
MOURGASH,4283,2366,1692,Bulgaria,47,24,180,S,2025112006
SHIP,2410,11910,,,44,23,10,N,2025112006
SHIP,2170,11710,,,35,18,20,NNE,2025112006
"ROSE SPIT (AUT), BC",5415,22835,0,Canada,34,17,150,SSE,2025112006
LAGOS/IKEJA,658,333,39.3,Nigeria,58,30,140,SE,2025112003
SHIP,6040,18620,,,35,18,340,NNW,2025112003
SHIP,-2700,4680,,,37,19,200,SSW,2025112003
DUBASARI,4728,2913,40,Republic of Moldova,189,97,140,SE,2025112003
