station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
MAWSON,-6760,6286,16,Stations operated by  Australia,34,17,120,ESE,2025111812
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,41,21,210,SSW,2025111812
PENGJIA YU,2563,12207,102,China,37,19,20,NNE,2025111812
DONGSHA DAO,2067,11672,6,China,49,25,30,NNE,2025111812
ANGISSOQ,5998,31487,16.13,Greenland,35,18,100,E,2025111812
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,51,26,190,S,2025111812
DUMONT D'URVILLE,-6665,14000,43,Antarctica,35,18,140,SE,2025111812
NUNARSSUIT,6075,31155,32.6,Greenland,38,20,100,E,2025111812
SOUTH WEST CAPE AWS,-4726,16745,102.4,New Zealand,46,24,340,NNW,2025111812
SHIP,2080,11850,,,40,21,20,NNE,2025111812
ENDERBY ISLAND AWS,-5048,16628,40,New Zealand,37,19,330,NNW,2025111812
PUERTO DESEADO AERO,-4773,29410,80,Argentina,52,27,250,WSW,2025111812
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,34,17,230,SW,2025111812
SAN JULIAN AERO,-4930,29220,62,Argentina,42,22,250,WSW,2025111812
LIBREVILLE,45,941,15,Gabon,60,31,140,SE,2025111812
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,47,24,230,SW,2025111812
SHIP,2250,11980,,,37,19,360,N,2025111812
SAN JULIAN AERO,-4930,29220,62,Argentina,37,19,230,SW,2025111809
PARBHANI,1913,7683,423,India,66,34,20,NNE,2025111809
HENGCHUN,2200,12075,24,China,37,19,40,NE,2025111809
SHIP,4650,29990,,,45,23,350,N,2025111809
LAN YU,2203,12155,325,China,41,21,20,NNE,2025111809
ENDERBY ISLAND AWS,-5048,16628,40,New Zealand,36,19,330,NNW,2025111809
SOUTH WEST CAPE AWS,-4726,16745,102.4,New Zealand,44,23,340,NNW,2025111809
NUNARSSUIT,6075,31155,32.6,Greenland,42,22,90,E,2025111809
ANGISSOQ,5998,31487,16.13,Greenland,38,20,100,E,2025111809
DONGSHA DAO,2067,11672,6,China,49,25,30,NNE,2025111809
SHIP,4670,31130,,,39,20,200,SSW,2025111809
PENGJIA YU,2563,12207,102,China,49,25,20,NNE,2025111809
QYTETI STALIN,4080,1990,33,Albania,40,21,140,SE,2025111809
SHIP,4650,31160,,,43,22,180,S,2025111809
SHIP,1870,12060,,,42,22,40,NE,2025111809
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,42,22,230,SW,2025111809
LAN YU,2203,12155,325,China,54,28,20,NNE,2025111806
ENDERBY ISLAND AWS,-5048,16628,40,New Zealand,34,17,360,N,2025111806
HENGCHUN,2200,12075,24,China,41,21,50,NE,2025111806
SHIP,1910,11780,,,35,18,60,ENE,2025111806
"SAGONA ISLAND, NFLD",4736,30422,0,Canada,36,19,180,S,2025111806
GREAT WALL,-6221,30104,10,Stations operated by China,37,19,140,SE,2025111806
SHIP,7330,2940,,,35,18,30,NNE,2025111806
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,39,20,200,SSW,2025111806
SHIP,3850,13530,,,35,18,330,NNW,2025111806
PENGJIA YU,2563,12207,102,China,37,19,30,NNE,2025111806
SHIP,4670,31130,,,35,18,180,S,2025111806
DONGSHA DAO,2067,11672,6,China,45,23,30,NNE,2025111806
SHIP,2970,12370,,,38,20,330,NNW,2025111806
SHIP,2410,11850,,,35,18,50,NE,2025111806
SHIP,2210,11450,,,36,19,20,NNE,2025111806
MOURGASH,4283,2366,1692,Bulgaria,66,34,180,S,2025111806
SHIP,4690,30010,,,46,24,360,N,2025111806
PUYSEGUR POINT AWS,-4615,16660,44.3,New Zealand,34,17,350,N,2025111806
NUNARSSUIT,6075,31155,32.6,Greenland,39,20,90,E,2025111806
SHIP,3090,13160,,,37,19,310,NW,2025111806
SOUTH WEST CAPE AWS,-4726,16745,102.4,New Zealand,42,22,340,NNW,2025111806
SHIP,4660,30580,,,34,17,230,SW,2025111806
CEAHLAU TOACA,4696,2595,1898.3,Romania,41,21,280,W,2025111803
SEMYACHIK,5411,15998,27,Russian Federation,35,18,30,NNE,2025111803
HENGCHUN,2200,12075,24,China,43,22,40,NE,2025111803
LAN YU,2203,12155,325,China,60,31,20,NNE,2025111803
"SAGONA ISLAND, NFLD",4736,30422,0,Canada,39,20,160,SSE,2025111803
ANGISSOQ,5998,31487,16.13,Greenland,41,21,100,E,2025111803
PUYSEGUR POINT AWS,-4615,16660,44.3,New Zealand,37,19,340,NNW,2025111803
SOUTH WEST CAPE AWS,-4726,16745,102.4,New Zealand,35,18,330,NNW,2025111803
SHIP,4670,30490,,,36,19,220,SW,2025111803
PENGJIA YU,2563,12207,102,China,39,20,30,NNE,2025111803
SHIP,4670,31130,,,36,19,200,SSW,2025111803
SHIP,3010,13110,,,50,26,310,NW,2025111803
SHIP,4650,31160,,,38,20,200,SSW,2025111803
RIO GALLEGOS AERO,-5160,29070,19,Argentina,36,19,250,WSW,2025111803
CHOPOK,4893,1958,2007,Slovakia,35,18,330,NNW,2025111803
SHIP,3450,16910,,,42,22,150,SSE,2025111803
DONGSHA DAO,2067,11672,6,China,43,22,30,NNE,2025111803
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,47,24,250,WSW,2025111800
SHIP,-6320,14360,,,37,19,140,SE,2025111800
MYS TERPENIYA,4865,14473,6,Russian Federation,35,18,310,NW,2025111800
CEAHLAU TOACA,4696,2595,1898.3,Romania,47,24,280,W,2025111800
CAAZAPA,-2618,30365,142,Paraguay,80,41,10,N,2025111800
SHIP,2970,12270,,,34,17,330,NNW,2025111800
GREAT WALL,-6221,30104,10,Stations operated by China,58,30,110,ESE,2025111800
CENTRO MET. ANTARTICO PDTE. EDUARDO FREI,-6218,30104,48,Antarctica,35,18,110,ESE,2025111800
LAN YU,2203,12155,325,China,49,25,20,NNE,2025111800
NOZOVKA,5708,5475,131.05,Russian Federation,47,24,100,E,2025111800
SHIP,5100,17980,,,35,18,250,WSW,2025111800
PUERTO DESEADO AERO,-4773,29410,80,Argentina,52,27,250,WSW,2025111800
PUNTA ARENAS,-5300,28917,38,Chile,37,19,260,W,2025111800
SHIP,4150,14120,,,34,17,310,NW,2025111800
SAN JULIAN AERO,-4930,29220,62,Argentina,35,18,250,WSW,2025111800
SHIP,2170,11470,,,36,19,20,NNE,2025111800
MOURGASH,4283,2366,1692,Bulgaria,66,34,180,S,2025111800
SHIP,4650,31160,,,41,21,190,S,2025111800
SHIP,4310,410,,,41,21,10,N,2025111800
RIO GALLEGOS AERO,-5160,29070,19,Argentina,34,17,250,WSW,2025111800
CHOPOK,4893,1958,2007,Slovakia,45,23,330,NNW,2025111800
