station,lat,lon,hp,country,thunderstorms,datetime
M.O. PONDICHERRY,1196,7981,38.3,India,95,2025111815
PHU QUOC,1021,10396,4,Viet Nam,95,2025111815
UJUNG PANDANG/HASANUDDIN,-506,11955,14,Indonesia,95,2025111815
CUDDALORE,1176,7976,5.71,India,95,2025111815
"EVANSVILLE/REG., IN.",3805,27247,118,United States of America,95,2025111815
QYTETI STALIN,4080,1990,33,Albania,95,2025111815
PORTO VELHO (AERO),-876,29609,102,Brazil,95,2025111815
MANOKWARI/RENDANI,-88,13405,3,Indonesia,95,2025111815
48907,1001,10506,,,95,2025111812
QUIBDO/EL CARANO,571,28339,53,Colombia,95,2025111812
JUANDA SURABAYA,-736,11276,3,Indonesia,95,2025111812
43353,995,7626,,,95,2025111812
CILACAP,-773,10901,6,Indonesia,95,2025111812
COCHIN INT. AIRPORT NEDUMBASSERY,1015,7640,9.13,India,95,2025111812
KUCHING,148,11033,27,Malaysia,95,2025111809
SINGAPORE/CHANGI AIRPORT,136,10396,16,Singapore,95,2025111809
KUANTAN,378,10321,16,Malaysia,95,2025111809
TUAL/DUMATUBUN,-565,13273,12,Indonesia,95,2025111809
PANGKALAN BUN/ISKANDAR,-270,11170,25,Indonesia,95,2025111809
MALABO,375,876,56,Equatorial Guinea,95,2025111809
RENGAT/JAPURA,-33,10233,46,Indonesia,95,2025111809
CILACAP,-773,10901,6,Indonesia,95,2025111809
GRAZZANISE,4105,1406,10,Italy,95,2025111809
ALOR STAR,620,10040,5,Malaysia,95,2025111809
SURIGAO,976,12548,55,Philippines,95,2025111806
SATUN,665,10006,5.95,Thailand,95,2025111806
KUANTAN,378,10321,16,Malaysia,95,2025111806
JAKARTA/SOEKARNO-HATTA,-611,10665,8,Indonesia,95,2025111806
CHUPING,648,10026,22,Malaysia,95,2025111806
ALOR STAR,620,10040,5,Malaysia,95,2025111806
GRAZZANISE,4105,1406,10,Italy,95,2025111806
WAINGAPU/MAU HAU,-966,12028,12,Indonesia,95,2025111806
SANTIAGO (78460-0),1940,28942,183,Dominican Republic,95,2025111803
DIPOLOG,860,12335,5,Philippines,95,2025111803
PEKOA AIRPORT (SANTO),-1551,16721,44,Vanuatu,95,2025111803
RIJEKA/OMISALJ,4521,1456,82.7,Croatia,95,2025111800
PUERTO PLATA,1975,28945,5,Dominican Republic,95,2025111800
SOLA (VANUA LAVA),-1385,16755,18,Vanuatu,95,2025111800
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025111800
ZAGREB/PLESO,4571,1605,108.8,Croatia,95,2025111800
VELIKO GRADISTE,4475,2151,84,Serbia,95,2025111800
UDINE/RIVOLTO,4596,1303,53,Italy,95,2025111721
MEKNES,3386,-30087,560,Morocco,95,2025111721
MVENGUE,-165,1343,0,Gabon,95,2025111721
SANTA ROSA,-1416,29310,0,"Bolivia, Plurinational State of",97,2025111721
SAWI AGROMET,1031,9908,13.33,Thailand,95,2025111721
LABUAN,530,11525,30,Malaysia,95,2025111721
KUALA LUMPUR INTERNATIONAL AIRPORT (KLIA),271,10170,17,Malaysia,95,2025111721
BABULSAR,3668,5263,-21,"Iran, Islamic Republic of",95,2025111718
LABUAN,530,11525,30,Malaysia,95,2025111718
TOZEUR,3391,816,86,Tunisia,95,2025111718
CAPO FRASCA,3973,845,95,Italy,95,2025111718
MAGDALENA,-1333,29589,140,"Bolivia, Plurinational State of",97,2025111718
TETE CHINGODZE,-1611,3365,129,Mozambique,97,2025111718
NAGAPPATTINAM,1076,7985,3.1,India,96,2025111718
KARAIKAL,1091,7983,6.35,India,95,2025111718
SANTA ANA,-1376,29457,144,"Bolivia, Plurinational State of",95,2025111718
